Account Name,,Legal Name,Company Exists,Active,Employees,Incorporation Year,Incorporation State / Providence,Incorporation Country,Website,Exit Year,Shipping Street,Shipping City,Shipping State/Province,Shipping Country,UEI,
Tema LLC,,,Yes,TRUE,2,2020,,,https://www.temainnovations.com/home,,1720 Wilmart Street,Rockville,Maryland,United States,,
Cusack Prep LLC,,,No,TRUE,1,2020,,,https://www.cusackprep.com/aboutus,,5141 Dudley Ln,Bethesda,Maryland,United States,,
Eric Lee,,,No,TRUE,,,,,,,,,,United States,,
Hanan Samet Associates,,,No,TRUE,2,2012,,,,,9308 Cherry Hill Rd,College Park,Maryland,United States,,
Jason Nixon,,,No,TRUE,,,,,,,,,,United States,,
DeepMirror Inc.,,,No,TRUE,30,2019,,,https://www.deepmirror.com,,,,,United States,,
Consistency,,,No,TRUE,,,,,,,,,,United States,,
PainAllay,,,No,TRUE,,,,,,,,,,United States,,
"Gmork_Tech, LLC",,,Yes,TRUE,,,,,,,528 Summit Ave,Hagerstown,Maryland,United States,,
Great Lakes I-Corps Hub,,,No,TRUE,,,,,,,,,,United States,,
Glycan Therapeutics Corporation,,,Yes,TRUE,9,2013,,,https://www.glycantherapeutics.com/,,617 Hutton St,Raleigh,North Carolina,United States,,
Kurbie LLC,,,No,TRUE,,,,,,,114 Riverside Rd,Essex,Maryland,United States,,
Xeddy Inc,,,Yes,TRUE,3,2021,Maryland,United States,https://www.xeddy.app/,,12308 Justice Pl,Glenn Dale,Maryland,United States,,
HR Geckos,,,Yes,TRUE,1,2018,,,https://hrgeckos.com/,,4007 Candle Light Dr,Dayton,Maryland,United States,,
VR Arm Strap,,,No,TRUE,,,,,,,,,,United States,,
Patrick McCluskey,,,No,TRUE,,,,,,,,,,United States,,
New Integration Photonics,,,No,TRUE,,,,,,,,,,United States,,
Hydraze,,,Yes,TRUE,1,,,,https://www.hydrazeinc.com,,,College Park,Maryland,United States,,
